"id","fqdn/ip","port","severity","finding","cve","cwe"
"HTTP_clock_skew","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","0 seconds from localtime","",""
"HSTS","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","not offered","",""
"HPKP","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","nginx","",""
"banner_application","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","No application banner found","",""
"cookie_count","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","1 at '/'","",""
"cookie_secure","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","All (1) at '/' marked as secure","",""
"cookie_httponly","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","All (1) at '/' marked as HttpOnly","",""
"X-Frame-Options","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","SAMEORIGIN","",""
"X-Content-Type-Options","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","nosniff","",""
"Content-Security-Policy","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","base-uri 'self' https://pastek.fabrique.social.gouv.fr; default-src 'self' ws: wss: https://log.zammad.com https://images.zammad.com; font-src 'self' data:; img-src * data:; object-src 'none'; script-src 'self' 'unsafe-eval' 'unsafe-inline' 'strict-dynamic' 'nonce-nrrH/rlFrCsn0MQurYjofg=='; style-src 'self' 'unsafe-inline'; frame-src www.youtube.com player.vimeo.com","",""
"X-XSS-Protection","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","1; mode=block","",""
"Referrer-Policy","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","strict-origin-when-cross-origin","",""
"Cache-Control","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","no-cache, no-store","",""
"Pragma","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","no-cache","",""
"banner_reverseproxy","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","--","","CWE-200"
"heartbleed","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","supported","","CWE-310"
"secure_client_renego","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","pastek.fabrique.social.gouv.fr/154.41.70.5","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","supported","",""
"SWEET32","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","pastek.fabrique.social.gouv.fr/154.41.70.5","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","pastek.fabrique.social.gouv.fr/154.41.70.5","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST_CBC_TLS1","pastek.fabrique.social.gouv.fr/154.41.70.5","443","MEDIUM","ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-AES128-SHA","CVE-2011-3389","CWE-20"
"BEAST","pastek.fabrique.social.gouv.fr/154.41.70.5","443","LOW","VULNERABLE -- but also supports higher protocols  TLSv1.1 TLSv1.2 (likely mitigated)","CVE-2011-3389","CWE-20"
